央视频道,#genre#
四川卫视,http://113.141.220.55:9901/tsfile/live/0123_1.m3u8
四川卫视,http://153.0.171.163:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://207.56.13.146:81/cdnlive/scws.m3u8
东南卫视,http://39.165.39.49:85/tsfile/live/1149_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
东南卫视,http://113.141.220.55:9901/tsfile/live/0137_1.m3u8
东南卫视,http://118.193.115.2:9901/tsfile/live/0137_1.m3u8?key=txiptv
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
广东卫视,http://222.94.115.176:52343/608831231
广东卫视,http://110.154.192.30:7788/608831231
广东卫视,http://124.223.82.228:89/608831231
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
广西卫视,http://207.56.13.146:81/cdnlive/gxws.m3u8
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
贵州卫视,http://222.214.208.34:59901/tsfile/live/0120_1.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
河北卫视,http://110.154.192.30:7788/962042070
河北卫视,http://119.88.243.98:17231/962042070
河北卫视,http://14.153.176.89:1234/962042070
河北卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/hbws/51/20251225/index.m3u8?msisdn=7d2105d09c668ec5288be18efbe664bd&mdspid=&spid=600725&netType=0&sid=5910022316&pid=2028597139&timestamp=20260603160058&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=962042070&ParentNodeID=-99&assertID=5910022316&client_ip=39.98.81.250&SecurityKey=20260603160058&promotionId=&mvid=5900006782&mcid=500020&playurlVersion=ZQ-A1-9.5.1.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=0aa04af7b970aa6892bf05c8de95e0e1&ddCalcu=10eav0aae0c54a9aefd78bc95700faba2698&sv=10004&ct=android
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
河南卫视,http://222.94.115.176:52343/790187291
河南卫视,http://110.154.192.30:7788/790187291
河南卫视,http://116.52.173.144:1234/790187291
河南卫视,http://223.247.25.217:1234/790187291
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8
黑龙江卫视,http://116.128.243.121:9905/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://124.116.183.146:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://113.141.220.55:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://118.193.115.2:9901/tsfile/live/0143_1.m3u8?key=txiptv
湖北卫视,http://39.165.39.49:85/tsfile/live/1143_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
湖北卫视,http://222.94.115.176:52343/947472496
湖北卫视,http://110.154.192.30:7788/947472496
湖北卫视,http://124.223.82.228:89/947472496
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
江西卫视,http://222.94.115.176:52343/783847495
江西卫视,http://110.154.192.30:7788/783847495
江西卫视,http://124.223.82.228:89/783847495
江西卫视,http://116.52.173.144:1234/783847495
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
吉林卫视,http://222.94.115.176:52343/947472500
吉林卫视,http://110.154.192.30:7788/947472500
吉林卫视,http://116.52.173.144:1234/947472500
吉林卫视,http://223.247.25.217:1234/947472500
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
内蒙古卫视,http://207.56.13.146:81/cdnlive/nmgws.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000141.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8
辽宁卫视,http://222.94.115.176:52343/630291707
辽宁卫视,http://110.154.192.30:7788/630291707
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
宁夏卫视,http://222.94.115.176:52343/738910535
宁夏卫视,http://110.154.192.30:7788/738910535
宁夏卫视,http://116.52.173.144:1234/738910535
宁夏卫视,http://116.236.204.18:1234/738910535
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
青海卫视,http://222.94.115.176:52343/947472506
青海卫视,http://110.154.192.30:7788/947472506
青海卫视,http://116.52.173.144:1234/947472506
青海卫视,http://223.247.25.217:1234/947472506
山东卫视,http://39.165.39.49:85/tsfile/live/1133_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
山东卫视,http://116.128.243.121:9905/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育卫视,http://222.94.115.176:52343/609154353
山东教育卫视,http://110.154.192.30:7788/609154353
山东教育卫视,http://223.247.25.217:1234/609154353
山东教育卫视,http://116.52.173.144:1234/609154353
山东教育卫视,http://116.236.204.18:1234/609154353
山西卫视,http://119.39.9.8:9901/tsfile/live/0118_1.m3u8
山西卫视,http://113.141.220.55:9901/tsfile/live/0118_1.m3u8
山西卫视,http://207.56.13.146:81/cdnlive/sxws.m3u8
天津卫视,http://124.116.183.146:9901/tsfile/live/0135_1.m3u8
天津卫视,http://113.141.220.55:9901/tsfile/live/0135_1.m3u8
天津卫视,http://207.56.13.146:81/cdnlive/tjws.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
海南卫视,http://222.94.115.176:52343/947472502
海南卫视,http://110.154.192.30:7788/947472502
海南卫视,http://116.52.173.144:1234/947472502
海南卫视,http://116.236.204.18:1234/947472502
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
新疆卫视,http://113.25.252.226:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://118.193.115.2:9901/tsfile/live/0110_1.m3u8?key=txiptv
新疆卫视,http://207.56.13.146:81/cdnlive/xjws.m3u8
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000489.m3u8
西藏卫视,http://218.13.170.98:9901/tsfile/live/0111_1.m3u8
兵团卫视,http://222.94.115.176:52343/956923145
兵团卫视,http://110.154.192.30:7788/956923145
兵团卫视,http://116.52.173.144:1234/956923145
兵团卫视,http://124.223.82.228:89/956923145
兵团卫视,http://223.247.25.217:1234/956923145
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
农林卫视,http://222.94.115.176:52343/956904896
农林卫视,http://110.154.192.30:7788/956904896
农林卫视,http://116.52.173.144:1234/956904896
农林卫视,http://124.223.82.228:89/956904896
三沙卫视,http://222.94.115.176:52343/961023778
三沙卫视,http://110.154.192.30:7788/961023778
三沙卫视,http://116.52.173.144:1234/961023778
三沙卫视,http://223.247.25.217:1234/961023778
三沙卫视,http://116.236.204.18:1234/961023778
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8
数字频道,#genre#
快乐垂钓,http://222.94.115.176:52343/961930263
快乐垂钓,http://110.154.192.30:7788/961930263
快乐垂钓,http://223.247.25.217:1234/961930263
快乐垂钓,http://116.52.173.144:1234/961930263
快乐垂钓,http://59.110.175.70:10000/961930263
纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8
环球旅游,http://222.94.115.176:52343/958475356
